,precision,recall,f1-score,support,AUC,accuracy,model
weighted avg,0.9118866751054724,0.9107142857142857,0.9105200682402009,1064.0,0.9664646235767291,0.9107142857142857,Spike-and-Slab_Bayesian_MAP1600
0,0.9507494646680942,0.8740157480314961,0.9107692307692308,508.0,0.969580241318756,0.918233082706767,_Bayesian_LogReg1600
1,0.8927973199329984,0.9586330935251799,0.924544666088465,556.0,0.969580241318756,0.918233082706767,_Bayesian_LogReg1600
macro avg,0.9217733923005462,0.916324420778338,0.9176569484288479,1064.0,0.969580241318756,0.918233082706767,_Bayesian_LogReg1600
weighted avg,0.92046620106592,0.918233082706767,0.917967672533793,1064.0,0.969580241318756,0.918233082706767,_Bayesian_LogReg1600
0,0.9532908704883227,0.8838582677165354,0.9172625127681308,508.0,0.9696545912875999,0.9238721804511278,Spike-and-Slab_Bayesian_MAP2716
1,0.9005059021922428,0.960431654676259,0.9295039164490861,556.0,0.9696545912875999,0.9238721804511278,Spike-and-Slab_Bayesian_MAP2716
macro avg,0.9268983863402828,0.9221449611963972,0.9233832146086085,1064.0,0.9696545912875999,0.9238721804511278,Spike-and-Slab_Bayesian_MAP2716
weighted avg,0.9257077479576644,0.9238721804511278,0.9236593364961487,1064.0,0.9696545912875999,0.9238721804511278,Spike-and-Slab_Bayesian_MAP2716
0,0.9570815450643777,0.8779527559055118,0.9158110882956879,508.0,0.9726144281425253,0.9229323308270677,_Bayesian_LogReg2716
1,0.8963210702341137,0.9640287769784173,0.9289428076256498,556.0,0.9726144281425253,0.9229323308270677,_Bayesian_LogReg2716
macro avg,0.9267013076492456,0.9209907664419645,0.9223769479606689,1064.0,0.9726144281425253,0.9229323308270677,_Bayesian_LogReg2716
weighted avg,0.9253307706229991,0.9229323308270677,0.9226731521560816,1064.0,0.9726144281425253,0.9229323308270677,_Bayesian_LogReg2716
0,0.5233415233415234,0.8385826771653543,0.6444780635400907,508.0,0.5703704752733246,0.5582706766917294,Naive_Bayes_50
1,0.672,0.302158273381295,0.41687344913151364,556.0,0.5703704752733246,0.5582706766917294,Naive_Bayes_50
macro avg,0.5976707616707617,0.5703704752733246,0.5306757563358022,1064.0,0.5703704752733246,0.5582706766917294,Naive_Bayes_50
weighted avg,0.6010239603923815,0.5582706766917294,0.525541817664932,1064.0,0.5703704752733246,0.5582706766917294,Naive_Bayes_50
0,0.531585220500596,0.8779527559055118,0.6622123236822569,508.0,0.5855591117657055,0.5723684210526315,Naive_Bayes_100
1,0.7244444444444444,0.2931654676258993,0.41741357234314985,556.0,0.5855591117657055,0.5723684210526315,Naive_Bayes_100
macro avg,0.6280148324725202,0.5855591117657055,0.5398129480127034,1064.0,0.5855591117657055,0.5723684210526315,Naive_Bayes_100
weighted avg,0.6323650405314041,0.5723684210526315,0.5342911716667085,1064.0,0.5855591117657055,0.5723684210526315,Naive_Bayes_100
0,0.5269186712485682,0.905511811023622,0.666183924692252,508.0,0.5813530278139692,0.5667293233082706,Naive_Bayes_200
1,0.7486910994764397,0.25719424460431656,0.38286479250334676,556.0,0.5813530278139692,0.5667293233082706,Naive_Bayes_200
macro avg,0.637804885362504,0.5813530278139692,0.5245243585977993,1064.0,0.5813530278139692,0.5667293233082706,Naive_Bayes_200
weighted avg,0.6428072709616288,0.5667293233082706,0.5181337014807564,1064.0,0.5813530278139692,0.5667293233082706,Naive_Bayes_200
0,0.5412026726057907,0.9566929133858267,0.6913229018492177,508.0,0.6078428595706112,0.5921052631578947,Naive_Bayes_400
1,0.8674698795180723,0.2589928057553957,0.3988919667590028,556.0,0.6078428595706112,0.5921052631578947,Naive_Bayes_400
macro avg,0.7043362760619315,0.6078428595706112,0.5451074343041102,1064.0,0.6078428595706112,0.5921052631578947,Naive_Bayes_400
weighted avg,0.7116956867441634,0.5921052631578947,0.5385112477983158,1064.0,0.6078428595706112,0.5921052631578947,Naive_Bayes_400
0,0.8709677419354839,0.7440944881889764,0.8025477707006369,508.0,0.8216875318642723,0.825187969924812,Naive_Bayes_800
1,0.7936507936507936,0.8992805755395683,0.8431703204047216,556.0,0.8216875318642723,0.825187969924812,Naive_Bayes_800
macro avg,0.8323092677931387,0.8216875318642723,0.8228590455526792,1064.0,0.8216875318642723,0.825187969924812,Naive_Bayes_800
weighted avg,0.8305652764784465,0.825187969924812,0.8237753436663052,1064.0,0.8216875318642723,0.825187969924812,Naive_Bayes_800
0,0.6393897364771152,0.90748031496063,0.7502034174125305,508.0,0.7199272078400272,0.7114661654135338,Naive_Bayes_1600
1,0.8629737609329446,0.5323741007194245,0.6585094549499444,556.0,0.7199272078400272,0.7114661654135338,Naive_Bayes_1600
macro avg,0.7511817487050299,0.7199272078400272,0.7043564361812374,1064.0,0.7199272078400272,0.7114661654135338,Naive_Bayes_1600
weighted avg,0.7562249973769659,0.7114661654135338,0.7022881513136603,1064.0,0.7199272078400272,0.7114661654135338,Naive_Bayes_1600
0,0.6002554278416348,0.9251968503937008,0.7281177381874516,508.0,0.6811236050529655,0.6701127819548872,Naive_Bayes_2716
1,0.8647686832740213,0.4370503597122302,0.5806451612903226,556.0,0.6811236050529655,0.6701127819548872,Naive_Bayes_2716
macro avg,0.7325120555578281,0.6811236050529655,0.6543814497388871,1064.0,0.6811236050529655,0.6701127819548872,Naive_Bayes_2716
weighted avg,0.7384785199660774,0.6701127819548872,0.6510550006359443,1064.0,0.6811236050529655,0.6701127819548872,Naive_Bayes_2716
0,0.7869158878504673,0.8287401574803149,0.8072866730584851,508.0,0.8118520931286466,0.8110902255639098,Random_Forest50
1,0.8355387523629489,0.7949640287769785,0.814746543778802,556.0,0.8118520931286466,0.8110902255639098,Random_Forest50
