matchId,blue_win,blueGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgLevel,redGold,redMinionsKilled,redJungleMinionsKilled,redAvgLevel,blueChampKills,blueHeraldKills,blueTowersDestroyed,redChampKills,redHeraldKills,redTowersDestroyed
3500047123.0,0,26106.0,322.0,90.0,8.8,26667.0,335.0,68.0,8.6,13.0,2.0,1.0,11.0,1.0,1.0
3488661155.0,0,24136.0,282.0,92.0,9.0,28174.0,365.0,75.0,9.0,10.0,0.0,2.0,13.0,2.0,0.0
3501576962.0,0,26818.0,312.0,76.0,8.8,27936.0,337.0,84.0,9.0,13.0,2.0,1.0,13.0,1.0,1.0
3494414891.0,0,27070.0,358.0,112.0,9.4,26487.0,357.0,74.0,9.0,9.0,2.0,0.0,11.0,0.0,2.0
3481365556.0,0,24160.0,347.0,92.0,9.2,25945.0,377.0,88.0,9.4,6.0,2.0,1.0,7.0,1.0,0.0
3511779887.0,0,26631.0,313.0,73.0,9.2,28044.0,327.0,82.0,9.6,12.0,1.0,1.0,16.0,1.0,0.0
3495693893.0,0,24964.0,281.0,64.0,8.8,33293.0,396.0,67.0,9.6,11.0,1.0,2.0,23.0,1.0,0.0
3475589140.0,0,25184.0,310.0,76.0,8.6,25216.0,296.0,61.0,8.4,11.0,2.0,0.0,13.0,0.0,1.0
3509471987.0,0,26329.0,331.0,97.0,9.2,25548.0,276.0,96.0,9.4,9.0,1.0,0.0,13.0,2.0,0.0
3511962269.0,0,23134.0,343.0,78.0,9.0,25104.0,342.0,96.0,9.8,5.0,1.0,1.0,7.0,2.0,0.0
3512473099.0,0,24501.0,369.0,65.0,9.6,25928.0,358.0,89.0,9.6,11.0,0.0,2.0,9.0,2.0,0.0
3498661692.0,0,21558.0,359.0,84.0,8.8,25782.0,319.0,125.0,9.2,2.0,2.0,2.0,9.0,1.0,0.0
3440215123.0,0,24748.0,358.0,91.0,9.0,23850.0,362.0,76.0,9.0,8.0,2.0,0.0,6.0,1.0,0.0
3470359315.0,0,22554.0,273.0,43.0,8.2,31075.0,361.0,89.0,9.2,9.0,0.0,2.0,19.0,2.0,0.0
3510081253.0,0,22917.0,337.0,72.0,9.2,24849.0,355.0,99.0,9.4,6.0,1.0,0.0,7.0,1.0,0.0
3507586931.0,0,27559.0,394.0,83.0,9.6,24322.0,326.0,100.0,9.4,13.0,1.0,0.0,7.0,2.0,0.0
3492225999.0,0,22373.0,335.0,87.0,9.0,27246.0,396.0,92.0,9.8,3.0,1.0,1.0,11.0,0.0,0.0
3490755240.0,0,22936.0,357.0,89.0,9.2,24330.0,354.0,93.0,9.2,6.0,3.0,0.0,7.0,0.0,0.0
3494092692.0,0,28582.0,319.0,117.0,9.4,25408.0,310.0,75.0,8.8,15.0,2.0,0.0,12.0,1.0,1.0
3498663287.0,0,26460.0,313.0,57.0,8.6,28550.0,313.0,86.0,9.2,12.0,0.0,1.0,18.0,3.0,1.0
3472714375.0,0,22671.0,316.0,71.0,8.8,28008.0,375.0,88.0,9.4,6.0,1.0,2.0,10.0,2.0,0.0
3456903805.0,0,23638.0,333.0,55.0,8.8,26188.0,363.0,77.0,9.4,8.0,1.0,0.0,12.0,2.0,0.0
3505113716.0,0,20522.0,283.0,39.0,7.8,31962.0,310.0,104.0,9.6,5.0,0.0,4.0,21.0,2.0,0.0
3469017916.0,0,27201.0,296.0,50.0,8.8,28876.0,288.0,81.0,9.2,16.0,1.0,0.0,17.0,2.0,0.0
3511335867.0,0,29058.0,315.0,112.0,10.0,26763.0,333.0,92.0,9.2,15.0,1.0,1.0,13.0,1.0,2.0
3509205176.0,0,25233.0,364.0,77.0,9.4,23135.0,331.0,65.0,8.8,10.0,2.0,0.0,8.0,1.0,0.0
3459709460.0,0,24938.0,313.0,96.0,9.6,24134.0,354.0,76.0,9.0,10.0,1.0,1.0,6.0,1.0,0.0
3452053068.0,0,24640.0,336.0,88.0,9.0,30036.0,370.0,98.0,9.4,6.0,0.0,3.0,14.0,3.0,1.0
3508803132.0,0,26605.0,364.0,112.0,9.6,29881.0,340.0,84.0,9.4,8.0,0.0,2.0,16.0,3.0,1.0
3506735010.0,0,25141.0,296.0,56.0,8.4,26583.0,336.0,72.0,9.0,12.0,1.0,0.0,14.0,2.0,0.0
3480182158.0,0,24928.0,364.0,88.0,9.4,28676.0,386.0,87.0,9.6,8.0,0.0,1.0,14.0,3.0,0.0
3450499406.0,0,28828.0,388.0,94.0,10.0,25056.0,377.0,82.0,9.2,11.0,2.0,1.0,5.0,1.0,1.0
3509164594.0,0,25690.0,299.0,57.0,9.0,29388.0,312.0,80.0,9.8,13.0,0.0,0.0,20.0,2.0,0.0
3468858568.0,0,23315.0,331.0,82.0,8.8,27185.0,387.0,107.0,9.8,6.0,0.0,0.0,11.0,2.0,0.0
3477994004.0,0,23550.0,339.0,66.0,9.0,29684.0,376.0,109.0,9.8,8.0,1.0,2.0,14.0,2.0,0.0
3499885122.0,0,22623.0,327.0,82.0,8.6,27649.0,365.0,80.0,9.4,6.0,1.0,1.0,14.0,2.0,0.0
3483720475.0,0,27471.0,351.0,88.0,9.4,26575.0,333.0,80.0,8.8,15.0,1.0,1.0,12.0,2.0,0.0
3483739282.0,0,24083.0,308.0,96.0,8.6,26963.0,294.0,71.0,8.6,10.0,2.0,1.0,15.0,1.0,0.0
3509111744.0,0,25622.0,297.0,82.0,9.0,30103.0,358.0,86.0,9.4,10.0,1.0,1.0,19.0,1.0,1.0
3450456610.0,0,22423.0,339.0,83.0,8.8,30822.0,308.0,86.0,9.4,5.0,0.0,1.0,20.0,3.0,0.0
3499321460.0,0,22137.0,319.0,60.0,8.6,25554.0,365.0,88.0,9.2,6.0,0.0,0.0,11.0,2.0,0.0
3499892052.0,0,21193.0,296.0,79.0,8.4,27350.0,321.0,114.0,9.6,2.0,2.0,2.0,10.0,0.0,0.0
3386834314.0,0,23846.0,322.0,86.0,9.0,30635.0,345.0,101.0,9.6,8.0,2.0,3.0,15.0,1.0,0.0
3477754707.0,0,25407.0,327.0,52.0,9.2,28418.0,347.0,80.0,9.4,12.0,1.0,0.0,18.0,1.0,0.0
3492383242.0,0,29310.0,343.0,72.0,9.0,26714.0,316.0,76.0,9.2,17.0,2.0,0.0,13.0,1.0,1.0
3505364991.0,0,24188.0,328.0,75.0,8.8,28694.0,347.0,77.0,9.8,9.0,0.0,0.0,18.0,1.0,0.0
3512802721.0,0,31196.0,349.0,99.0,9.6,25209.0,348.0,70.0,9.2,16.0,3.0,0.0,9.0,0.0,2.0
3511126770.0,0,20472.0,280.0,67.0,8.0,29527.0,319.0,69.0,9.4,3.0,0.0,2.0,19.0,2.0,0.0
3483210714.0,0,21182.0,310.0,54.0,8.2,30456.0,324.0,86.0,9.4,3.0,2.0,4.0,16.0,1.0,0.0
3429052691.0,0,24508.0,314.0,88.0,9.0,31065.0,301.0,88.0,9.8,8.0,0.0,2.0,21.0,3.0,0.0
3512141914.0,0,26426.0,280.0,82.0,9.0,27227.0,293.0,82.0,9.0,12.0,3.0,1.0,16.0,0.0,1.0
3509597735.0,0,25980.0,365.0,88.0,9.2,26871.0,304.0,85.0,9.4,10.0,1.0,2.0,12.0,2.0,1.0
3510477694.0,0,25541.0,345.0,76.0,9.0,28074.0,381.0,68.0,9.2,7.0,2.0,2.0,11.0,0.0,1.0
3501985111.0,0,26433.0,358.0,69.0,9.2,29074.0,378.0,91.0,9.6,12.0,1.0,2.0,13.0,1.0,1.0
3511843369.0,0,24757.0,314.0,84.0,8.8,26806.0,344.0,78.0,9.2,9.0,2.0,3.0,10.0,1.0,0.0
3461716297.0,0,26317.0,367.0,80.0,9.4,24681.0,370.0,92.0,9.4,9.0,1.0,0.0,8.0,1.0,1.0
